artist,date,time,city,title,type
王晰,2020-01-02,19:30,北京,Cherish珍晰,concert
王凯,2020-01-17,19:00,北京,北京新春音乐会,concert
马佳,2020-01-04,19:30,北京,无限色彩,concert
阿云嘎,2020-01-03,19:30,北京,乐见北京,concert
张超,2020-01-06,19:20,北京,育心遇声,concert
王凯,2020-01-01,19:30,北京,凯旋之夜,concert
王晰,2020-01-01,19:30,北京,凯旋之夜,concert
蔡尧,2020-01-01,19:30,北京,凯旋之夜,concert
廖佳琳,2020-01-01,19:30,北京,凯旋之夜,concert
周深,2020-01-04,19:30,广州,C-929星球,concert
廖佳琳,2020-12-12,19:30,济南,倚石听声,concert
李文豹,2020-12-12,19:30,济南,倚石听声,concert
洪之光,2020-01-11,19:30,广州,洪之光个人独唱音乐会,concert
简弘亦,2020-01-02,19:30,北京,Cherish珍晰,concert
李彦锋,2020-01-02,19:30,北京,Cherish珍晰,concert
廖佳琳,2020-01-02,19:30,北京,Cherish珍晰,concert
马佳,2020-01-09,19:30,上海,无限色彩,concert
黄子弘凡,2020-01-11,19:30,广州,洪之光个人独唱音乐会,concert
方书剑,2020-01-11,19:30,广州,洪之光个人独唱音乐会,concert
南枫,2020-01-11,19:30,广州,洪之光个人独唱音乐会,concert
王凯,2020-01-08,14:00,北京,百花迎春·文联春节大联欢,concert
余笛,2020-01-09,19:30,上海,无限色彩,concert
马佳,2020-01-08,14:00,北京,百花迎春·文联春节大联欢,concert
高杨,2020-01-21,19:00,广州,广州过年 花城看花,concert
星元,2020-01-21,19:00,广州,广州过年 花城看花,concert
李文豹,2020-01-21,19:00,广州,广州过年 花城看花,concert
贾凡,2020-01-14,19:30,北京,声入人心II巡演,concert
洪之光,2020-01-14,19:30,北京,声入人心II巡演,concert
贾凡,2020-05-29,19:30,上海,音乐剧集锦音乐会,concert
贾凡,2020-05-30,19:30,上海,音乐剧集锦音乐会,concert
丁辉,2020-05-29,19:30,上海,音乐剧集锦音乐会,concert
丁辉,2020-05-30,19:30,上海,音乐剧集锦音乐会,concert
翟李朔天,2020-06-19,19:30,上海,千面之王,concert
金圣权,2020-06-20,19:30,上海,诠释爱,concert
龚子棋,2020-06-25,19:30,上海,王子与玫瑰,concert
方书剑,2020-07-11,19:30,上海,长相知,concert
王凯,2020-07-12,19:30,长春,流光溢彩交响音乐会,concert
黄子弘凡,2020-07-18,19:30,上海,Fine！我热爱的世界,concert
洪之光,2020-07-18,19:30,上海,Fine！我热爱的世界,concert
丁辉,2020-08-02,17:00,上海,音乐剧演员双人音乐会,concert
郑云龙,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
龚子棋,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
方书剑,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
金圣权,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
梁朋杰,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
贾凡,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
陆宇鹏,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
余笛,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
刘彬濠,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
丁辉,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
贾凡,2020-08-08,17:00,上海,音乐剧演员双人音乐会,concert
金圣权,2020-08-16,17:00,上海,音乐剧演员双人音乐会,concert
金圣权,2020-07-31,19:30,上海,帅小伙的蔬果店音乐会,concert
翟李朔天,2020-07-31,19:30,上海,帅小伙的蔬果店音乐会,concert
梁朋杰,2020-07-31,19:30,上海,帅小伙的蔬果店音乐会,concert
翟李朔天,2020-08-02,19:30,上海,2020首届华语音乐剧大赏,concert
金圣权,2020-08-25,19:30,宁波,宁波夏日音乐会,concert
高杨,2020-08-25,19:30,宁波,宁波夏日音乐会,concert
代玮,2020-08-25,19:30,宁波,宁波夏日音乐会,concert
金圣权,2020-08-26,19:30,宁波,宁波夏日音乐会,concert
高杨,2020-08-26,19:30,宁波,宁波夏日音乐会,concert
代玮,2020-08-26,19:30,宁波,宁波夏日音乐会,concert
廖佳琳,2020-08-03,18:00,长沙,追梦吧青春,concert
李文豹,2020-10-31,19:30,长沙,倚石听声,concert
廖佳琳,2020-10-31,19:30,长沙,倚石听声,concert
马佳,2020-08-12,20:00,深圳,第二届深圳音乐季全国青年歌手展演,concert
代玮,2020-10-14,20:00,珠海,声声不息 不止古典,concert
翟李朔天,2020-08-23,19:30,上海,月亮和六便士音乐会,concert
张超,2020-10-06,19:30,苏州,风中的少年,concert
高杨,2020-10-05,19:30,苏州,风中的少年,concert
张超,2020-10-05,19:30,苏州,风中的少年,concert
代玮,2020-10-05,19:30,苏州,风中的少年,concert
高杨,2020-10-06,19:30,苏州,风中的少年,concert
金圣权,2020-10-06,19:30,苏州,风中的少年,concert
龚子棋,2020-10-05,19:30,苏州,风中的少年,concert
金圣权,2020-10-05,19:30,苏州,风中的少年,concert
高杨,2020-10-07,19:30,苏州,风中的少年,concert
张超,2020-10-07,19:30,苏州,风中的少年,concert
梁朋杰,2020-10-07,19:30,苏州,风中的少年,concert
金圣权,2020-10-07,19:30,苏州,风中的少年,concert
龚子棋,2020-10-07,19:30,苏州,风中的少年,concert
代玮,2020-10-06,19:30,苏州,风中的少年,concert
